make_model_ordinal,body_type_ordinal,price,km,type_ordinal,previous_owners,fuel_ordinal,inspection_new,drive_chain,co2_emission,gears,age,hp_kW,upholstery_type_ordinal,gearing_type_ordinal,displacement_cc,weight_kg,comb_consumption,comfort_convenience_package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled
0,0,11500,106000.0,0,1.0,0,0,2,97.0,5.0,3.0,66.0,0,1,1422.0,1195.0,3.7,2,1,1,1
0,0,11790,60000.0,0,0.0,0,0,2,97.0,5.0,3.0,85.0,0,1,1598.0,1250.0,3.7,2,1,0,1
0,2,11490,58000.0,0,2.0,1,1,2,102.0,5.0,3.0,60.0,1,1,999.0,1180.0,4.4,2,3,0,1
0,2,11470,57454.0,0,1.0,1,1,2,104.0,5.0,3.0,60.0,0,1,999.0,1675.0,4.4,2,3,0,0
0,2,11480,94055.0,0,1.0,0,0,2,102.0,5.0,3.0,66.0,0,1,1422.0,1180.0,3.9,2,2,0,1
0,0,11180,56000.0,0,1.0,1,0,2,97.0,5.0,3.0,70.0,0,1,999.0,1135.0,4.2,2,1,0,1
0,0,11450,27600.0,0,1.0,1,0,2,97.0,5.0,3.0,70.0,0,1,999.0,1135.0,4.2,2,3,0,1
0,2,11100,111670.0,0,1.0,0,0,2,102.0,5.0,3.0,85.0,0,1,1598.0,1250.0,3.0,2,1,0,0
0,2,10900,30500.0,0,1.0,0,0,2,99.0,5.0,3.0,66.0,0,1,1422.0,1180.0,3.8,2,1,0,1
0,2,10999,69500.0,0,1.0,1,0,2,102.0,5.0,2.0,70.0,0,1,999.0,1180.0,4.4,2,1,0,1
0,2,10900,43500.0,0,1.0,1,0,2,97.0,5.0,3.0,60.0,0,1,999.0,1180.0,4.2,2,1,0,1
0,0,10950,45696.0,0,1.0,1,1,2,102.0,5.0,3.0,70.0,0,1,999.0,1135.0,4.4,2,1,0,1
0,0,10800,34000.0,0,2.0,0,0,2,99.0,5.0,3.0,66.0,1,1,1422.0,1165.0,3.8,2,3,0,1
0,0,10600,55000.0,0,2.0,1,0,2,97.0,5.0,3.0,70.0,1,1,999.0,1110.0,4.2,2,1,0,1
0,0,10800,99000.0,0,1.0,0,0,2,97.0,5.0,3.0,66.0,0,1,1422.0,1205.0,3.7,2,3,0,0
0,2,9950,118500.0,0,1.0,1,1,2,102.0,5.0,3.0,70.0,0,1,999.0,1110.0,4.4,2,3,0,0
0,0,10300,85000.0,0,1.0,1,0,2,97.0,5.0,3.0,70.0,0,1,999.0,1135.0,4.2,2,3,0,1
